datetime,Q_obs
2024-01-01 00:00,1.23
2024-01-01 01:00,1.45
2024-01-01 02:00,1.60
2024-01-01 03:00,1.80
2024-01-01 04:00,2.00
2024-01-01 05:00,2.20
2024-01-01 06:00,2.40
2024-01-01 07:00,2.60
2024-01-01 08:00,2.80
2024-01-01 09:00,3.00
2024-01-01 10:00,3.20
2024-01-01 11:00,3.40
2024-01-01 12:00,3.60
2024-01-01 13:00,3.80
2024-01-01 14:00,4.00
2024-01-01 15:00,4.20
2024-01-01 16:00,3.90
2024-01-01 17:00,3.60
2024-01-01 18:00,2.80
2024-01-01 19:00,2.00
2024-01-01 20:00,1.20
2024-01-01 21:00,1.40
2024-01-01 22:00,1.60
2024-01-01 23:00,1.80
